Time (s),POROUS_FORCE_X,POROUS_FORCE_Y,POROUS_FORCE_Z,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.183311913683e-02,4.652295403974e+00,1.630886357102e-02,2.183304035126e-02,4.652488034718e+00,1.630823702157e-02,-7.878556343356e-08,1.926307442060e-04,-6.265494511216e-07
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.357756336122e-02,5.237633727255e+01,6.012405506223e-02,8.361470451367e-02,5.243406286987e+01,6.005186784065e-02,3.714115245069e-05,5.772559732386e-02,-7.218722158811e-05
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.732742138338e-01,7.514357221055e+01,-4.953001752017e-01,-7.733588458899e-01,7.519814389663e+01,-4.954744483886e-01,-8.463205610779e-05,5.457168607118e-02,-1.742731868894e-04
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.708333352744e-01,2.185070039427e+01,-3.773561391060e-01,-5.712658238895e-01,2.189423695708e+01,-3.780366187800e-01,-4.324886150821e-04,4.353656281213e-02,-6.804796740356e-04
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.246783808560e-01,-2.641885281713e+01,-1.870592466136e-01,-2.250188085951e-01,-2.640021361424e+01,-1.872446676382e-01,-3.404277390586e-04,1.863920289556e-02,-1.854210245844e-04
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.851044096786e-02,-2.755712085856e+01,-4.124316305990e-02,-6.031391660917e-02,-2.860342935234e+01,-1.268926865910e-01,-7.882435757703e-02,-1.046308493779e+00,-8.564952353106e-02
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.791774525686e-03,3.662438345673e+00,-8.442112310784e-02,-7.013993782758e-02,1.940702623169e+00,-1.708026918939e-01,-7.593171235327e-02,-1.721735722504e+00,-8.638156878611e-02
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.170752167361e-02,2.850385913625e+01,-8.276869793508e-02,-7.428361542168e-02,2.938804873019e+01,-1.201193114300e-01,-2.576093748066e-03,8.841895939354e-01,-3.735061349495e-02
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.035739578770e-01,2.775204051216e+01,-1.300584201659e-01,-3.107761102384e-01,3.473181128383e+01,-2.044532299226e-01,-1.072021523614e-01,6.979770771670e+00,-7.439480975672e-02
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.847425621418e-01,1.135772665625e+01,-8.007682050649e-02,-2.351186653329e-01,1.480209795781e+01,-1.533256542026e-01,-5.037610319107e-02,3.444371301558e+00,-7.324883369609e-02
"                  11",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.150300866128e-01,4.172172829015e-01,-5.124745315234e-02,-1.393889675218e-01,1.280696814176e+00,-6.589416962241e-02,-2.435888090904e-02,8.634795312744e-01,-1.464671647007e-02
"                  12",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.292067469738e-02,2.576468865847e+00,-6.241507253355e-02,-7.722230097529e-02,2.384618144275e+00,-7.900893767825e-02,-1.430162627791e-02,-1.918507215727e-01,-1.659386514470e-02
"                  13",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-9.191643614606e-02,1.098116383805e+01,-9.747546946656e-02,-9.654126059398e-02,1.052448316839e+01,-9.038542777018e-02,-4.624824447922e-03,-4.566806696554e-01,7.090041696380e-03
"                  14",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.368193730881e-01,1.571859869865e+01,-1.158863786833e-01,-1.424163110385e-01,1.505333394540e+01,-1.163703648556e-01,-5.596937950450e-03,-6.652647532509e-01,-4.839861723609e-04
"                  15",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.073256436533e-02,1.406486713528e+01,-1.563199866151e-02,-6.298640621569e-02,1.306073505590e+01,-2.659226809372e-03,-2.253841850365e-03,-1.004132079388e+00,1.297277185213e-02
"                  16",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.010362386807e-01,9.826987016115e+00,1.429370274365e-01,1.037931716722e-01,8.410473191498e+00,1.229511438192e-01,2.756932991513e-03,-1.416513824617e+00,-1.998588361738e-02
"                  17",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.000601140811e-01,7.987039713930e+00,2.000645350766e-01,1.806609634192e-01,6.444055814560e+00,1.980761263142e-01,-1.939915066185e-02,-1.542983899370e+00,-1.988408762381e-03
"                  18",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.476844174849e-01,9.329541163658e+00,1.183121417010e-01,1.342844187284e-01,7.828792916109e+00,1.014313310557e-01,-1.339999875645e-02,-1.500748247548e+00,-1.688081064535e-02
"                  19",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.954727546320e-02,1.117807646327e+01,7.684904249401e-03,4.246515395926e-02,9.895812193888e+00,-1.744289861554e-03,-7.082121503938e-03,-1.282264269385e+00,-9.429194110955e-03
"                  20",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.892483911475e-03,1.135324017090e+01,-3.398241493575e-02,-1.044968362157e-02,1.033558338764e+01,-3.967978002452e-02,-1.634216753304e-02,-1.017656783263e+00,-5.697365088775e-03
"                  21",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.359268643244e-02,1.028500274231e+01,1.126046812361e-02,3.564960917643e-02,9.469965820434e+00,1.179223597691e-02,-7.943077256010e-03,-8.150369218726e-01,5.317678533024e-04
"                  22",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.409892330364e-02,9.470453110507e+00,4.564676966800e-02,5.757457117282e-02,8.810285179159e+00,3.484306450753e-02,-1.652435213083e-02,-6.601679313476e-01,-1.080370516048e-02
"                  23",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.529746805023e-02,9.934486631524e+00,8.515146062101e-03,2.960967044964e-02,9.391276405487e+00,8.821487733932e-06,-5.687797600583e-03,-5.432102260362e-01,-8.506324574367e-03
"                  24",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.564659519921e-02,1.115299904592e+01,-7.606619689263e-02,-6.254872200825e-02,1.068657464929e+01,-7.884366355508e-02,-6.902126809041e-03,-4.664243966364e-01,-2.777466662445e-03
"                  25",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.459203123852e-01,1.184456419066e+01,-1.545881186077e-01,-1.549662838679e-01,1.143063312755e+01,-1.601248698023e-01,-9.045971482705e-03,-4.139310631027e-01,-5.536751194618e-03
"                  26",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.788055603363e-01,1.157615481730e+01,-1.817252957294e-01,-1.834420479411e-01,1.124711653047e+01,-1.858932182512e-01,-4.636487604775e-03,-3.290382868362e-01,-4.167922521756e-03
"                  27",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.417848803637e-01,1.096581808642e+01,-1.361296280753e-01,-1.453843150253e-01,1.069170676546e+01,-1.410870831549e-01,-3.599434661641e-03,-2.741113209597e-01,-4.957455079654e-03
"                  28",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.560144428937e-02,1.082843876106e+01,-5.080976886278e-02,-6.987666588395e-02,1.056500386690e+01,-5.567080444913e-02,-4.275221594577e-03,-2.634348941577e-01,-4.861035586353e-03
"                  29",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.421385926931e-03,1.137953305762e+01,1.798583137307e-02,-8.138131819433e-03,1.116985157847e+01,1.393839227364e-02,-2.716745892502e-03,-2.096814791538e-01,-4.047439099427e-03
"                  30",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.037184351788e-02,1.216942367998e+01,5.236105364852e-02,1.429534750271e-02,1.198993789817e+01,4.686776693871e-02,-6.076496015167e-03,-1.794857818153e-01,-5.493286709806e-03
"                  31",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.535692200234e-02,1.264782452966e+01,8.198076279183e-02,3.518896962397e-02,1.247609369420e+01,7.896001078551e-02,-1.016795237837e-02,-1.717308354623e-01,-3.020752006325e-03
"                  32",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.977894424843e-02,1.266837678319e+01,1.409989173403e-01,8.746912889233e-02,1.248005696701e+01,1.379840047461e-01,-1.230981535610e-02,-1.883198161857e-01,-3.014912594187e-03
"                  33",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.719633974456e-01,1.246881111145e+01,2.143750106356e-01,1.646822203250e-01,1.224025863247e+01,2.179369833795e-01,-7.281177120551e-03,-2.285524789796e-01,3.561972743822e-03
