Time (s),POROUS_MOMENT_X,POROUS_MOMENT_Y,POROUS_MOMENT_Z,PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,TOTAL_MOMENT_X,TOTAL_MOMENT_Y,TOTAL_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.667786191868e-05,-1.602009093528e-05,4.373221296336e-05,-3.641986941976e-05,-1.590927572382e-05,4.343394335282e-05,2.579924989210e-07,1.108152114573e-07,-2.982696105337e-07
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.691929565703e-07,-7.367495736418e-05,1.028420688431e-05,3.100385397038e-05,-5.175643237096e-05,-2.848864509507e-05,3.147304692695e-05,2.191852499322e-05,-3.877285197939e-05
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.719954191630e-03,1.249773843310e-03,-2.497649326642e-03,1.746330685349e-03,1.272381613887e-03,-2.527122529550e-03,2.637649371959e-05,2.260777057639e-05,-2.947320290840e-05
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.051479097854e-03,6.044293834740e-04,-1.342675658886e-03,1.023697584211e-03,6.507312216869e-04,-1.305630575399e-03,-2.778151364278e-05,4.630183821297e-05,3.704508348612e-05
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.827641503680e-04,-1.148648075797e-04,4.059619680062e-04,1.548310341963e-04,-6.854480524582e-05,4.573328429280e-04,-2.793311617170e-05,4.632000233388e-05,5.137087492173e-05
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.868502303106e-04,-5.545441937242e-04,1.782056735751e-03,-8.068328161516e-03,-3.111574181484e-04,1.093087064419e-02,-7.581477931205e-03,2.433867755758e-04,9.148813908440e-03
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.133452202552e-04,-2.122055124170e-04,1.740265990558e-03,-1.675824278559e-02,-2.870562810443e-04,1.569244885317e-02,-1.624489756533e-02,-7.485076862727e-05,1.395218286261e-02
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.508666018129e-04,7.045364365505e-05,1.321415770133e-03,-1.662573687281e-03,9.372040073862e-04,-1.657978120057e-03,-1.011707085468e-03,8.667503637311e-04,-2.979393890190e-03
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.388927237887e-04,2.877104229682e-04,1.019470949625e-03,-1.455731655181e-02,2.198980672312e-03,1.679945416522e-02,-1.381842382802e-02,1.911270249344e-03,1.577998321560e-02
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-1.022849874696e-03,3.700874862442e-04,1.401558582303e-03,-1.142041930433e-02,1.013587581035e-04,9.248415279208e-03,-1.039756942964e-02,-2.687287281406e-04,7.846856696905e-03
"                  11",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-8.714125096494e-04,6.528650500863e-05,1.581965887913e-03,-4.973216422326e-03,-1.945081191516e-04,6.863474921552e-03,-4.101803912677e-03,-2.597946241602e-04,5.281509033639e-03
"                  12",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.419416494532e-04,-1.874186404129e-04,1.405581595074e-03,-9.858612266359e-04,1.477201903137e-04,1.911021840319e-03,-5.439195771827e-04,3.351388307266e-04,5.054402452455e-04
"                  13",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-7.094783348892e-05,-1.516776646078e-04,8.824242946294e-04,-7.426160382443e-04,-1.671958241126e-04,-5.872539860446e-04,-6.716682047553e-04,-1.551815950481e-05,-1.469678280674e-03
"                  14",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.606483793770e-05,1.128101186431e-04,2.731696202635e-04,-1.417152711623e-03,-5.174088170452e-04,-2.275283868521e-03,-1.503217549560e-03,-6.302189356884e-04,-2.548453488785e-03
