Time (s),POROUS_FORCE_X,POROUS_FORCE_Y,POROUS_FORCE_Z,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.050344677199e-01,2.071531390792e+01,1.280196684876e-01,1.050710707883e-01,2.071787245841e+01,1.280420552350e-01,3.660306841219e-05,2.558550488385e-03,2.238674739801e-05
"                   2",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.414455909198e+00,7.431282746858e+02,1.471123502591e+00,1.414013275462e+00,7.432981914707e+02,1.470229463838e+00,-4.426337358188e-04,1.699167849341e-01,-8.940387533183e-04
"                   3",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.397334361187e+00,8.531528241168e+02,1.827904526962e+00,3.396536122276e+00,8.533392867412e+02,1.826424541074e+00,-7.982389109499e-04,1.864626243994e-01,-1.479985888200e-03
"                   4",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.854927438416e+00,1.663671487874e+02,-2.646845424383e-01,1.854326388861e+00,1.665465359619e+02,-2.664087048076e-01,-6.010495546502e-04,1.793871745385e-01,-1.724162369267e-03
"                   5",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.840166273152e+00,-3.589648272435e+02,-4.578218865399e+00,-2.840593498651e+00,-3.588248354982e+02,-4.578443308595e+00,-4.272254988863e-04,1.399917453014e-01,-2.244431959264e-04
"                   6",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-6.092714516853e+00,-2.975534900308e+02,-5.822356914492e+00,-6.094405107696e+00,-2.974706642258e+02,-5.824149831938e+00,-1.690590843033e-03,8.282580495431e-02,-1.792917445341e-03
"                   7",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.589978487254e+00,9.806786208815e+01,-2.954944629776e+00,-3.592820797277e+00,9.809600032802e+01,-2.957729596334e+00,-2.842310022493e-03,2.813823986721e-02,-2.784966557716e-03
"                   8",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.980559853266e-01,3.548260247246e+02,2.381414634168e+00,7.950182649308e-01,3.548418439489e+02,2.376643947766e+00,-3.037720395844e-03,1.581922433996e-02,-4.770686402066e-03
"                   9",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.189597499952e+00,2.996710022748e+02,3.390826369316e+00,3.186097769232e+00,2.996867222139e+02,3.386476837105e+00,-3.499730719998e-03,1.571993911191e-02,-4.349532211633e-03
"                  10",0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.907471519184e+00,9.958664131006e+01,4.817334697494e-01,1.904137098131e+00,9.958637113062e+01,4.787553682432e-01,-3.334421052695e-03,-2.701794411259e-04,-2.978101506284e-03
